keys,en,ru
$%d/day upkeep,$%d/day upkeep,$%d/день содержание
%d min,%d min,%d мин
%d room(s),%d room(s),комнат: %d
%s moved into %s (%d residents),%s moved into %s (%d residents),%s заселились в %s (жильцов: %d)
(no door),(no door),(нет двери)
/day,/day,/день
A bigger residential plot: room for a large family.,A bigger residential plot: room for a large family.,Участок побольше: хватит на большую семью.
A place to sit down.,A place to sit down.,"Место, чтобы присесть."
A place to work from home. Pays whatever the job pays.,A place to work from home. Pays whatever the job pays.,"Место для работы из дома. Платят столько же, сколько на работе."
A plot for one household. Build the rooms yourself.,A plot for one household. Build the rooms yourself.,Участок на одну семью. Комнаты строишь сам.
"A quick snack, no cooking required.","A quick snack, no cooking required.","Быстрый перекус, готовить не надо."
"A town: four families, a shop, a cafe, an office, a gym, a library and a park","A town: four families, a shop, a cafe, an office, a gym, a library and a park","Городок: четыре семьи, магазин, кафе, офис, спортзал, библиотека и парк"
"A tree. Nobody can do anything with it, which is the point: a street with trees looks lived in.","A tree. Nobody can do anything with it, which is the point: a street with trees looks lived in.",Дерево. С ним ничего нельзя сделать — в этом и смысл: улица с деревьями выглядит обжитой.
A working-age resident with no particular quirks.,A working-age resident with no particular quirks.,Взрослый житель без особых причуд.
Adler,Adler,Адлер
Adult,Adult,Взрослый
Afternoon,Afternoon,После обеда
Anna,Anna,Анна
Apartment Block,Apartment Block,Многоквартирный дом
Appliance,Appliance,Техника
"Asphalt. Cars drive on it, people walk across it.","Asphalt. Cars drive on it, people walk across it.",Асфальт. По нему ездят машины и переходят люди.
Bathroom,Bathroom,Ванная
Beck,Beck,Бек
Bedroom,Bedroom,Спальня
Bench,Bench,Скамья
Better cooks make bigger meals in less time.,Better cooks make bigger meals in less time.,"Кто лучше готовит, тот делает больше еды и быстрее."
Bookshelf,Bookshelf,Книжный шкаф
Boris,Boris,Борис
"Build a street, then look inside it","Build a street, then look inside it",Построй улицу и загляни внутрь
Cafe,Cafe,Кафе
"Cannot relax in a dirty flat. Showers first, enjoys life second.","Cannot relax in a dirty flat. Showers first, enjoys life second.","Не может расслабиться в грязной квартире. Сначала душ, потом всё остальное."
Carpet,Carpet,Ковролин
Chair,Chair,Стул
Charisma,Charisma,Харизма
Chat,Chat,Болтать
Children room,Children room,Детская
City Grant,City Grant,Городской грант
Clara,Clara,Клара
Close,Close,Закрыть
Coffee,Coffee,Кофе
Coffee Machine,Coffee Machine,Кофемашина
"Cold, easy to clean. Made for kitchens and bathrooms.","Cold, easy to clean. Made for kitchens and bathrooms.","Холодная, легко мыть. Для кухни и ванной."
Comfort,Comfort,Комфорт
Comfortable seating for up to three.,Comfortable seating for up to three.,Удобно сидеть втроём.
Commercial plot with desks. Office workers commute here.,Commercial plot with desks. Office workers commute here.,Коммерческий участок со столами. Сюда ходят офисные работники.
Commercial plot. Somewhere for shopkeepers to work.,Commercial plot. Somewhere for shopkeepers to work.,Коммерческий участок. Место работы для продавцов.
Company is more rewarding when you are good at it.,Company is more rewarding when you are good at it.,"Общение приятнее, когда умеешь общаться."
Computer,Computer,Компьютер
Continue,Continue,Продолжить
Cook,Cook,Готовить
Cook a feast,Cook a feast,Приготовить пир
Cooking,Cooking,Готовка
Cooking takes longer but fills you up properly.,Cooking takes longer but fills you up properly.,"Готовка дольше, зато сытно по-настоящему."
"Costs energy and hygiene now, makes energy last longer forever after.","Costs energy and hygiene now, makes energy last longer forever after.","Сейчас тратит силы и чистоту, зато потом энергии хватает надолго."
Cross,Cross,Кросс
Daniel,Daniel,Даниил
Daytime,Daytime,День
Decor,Decor,Декор
Decorative for now; it will light the room at night.,Decorative for now; it will light the room at night.,Пока просто украшение; ночью будет светить.
Del,Del,Снос
Delete,Delete,Снести
Desk,Desk,Письменный стол
"Desk job in a commercial building. Fixed hours, steady salary.","Desk job in a commercial building. Fixed hours, steady salary.","Работа за столом в коммерческом здании. Твёрдый график, стабильная зарплата."
Dining Table,Dining Table,Обеденный стол
Dining room,Dining room,Столовая
Dinner,Dinner,Ужин
Door,Door,Дверь
Dorn,Dorn,Дорн
Easel,Easel,Мольберт
Eat,Eat,Есть
Eating,Eating,Ест
Egan,Egan,Иган
Electronics,Electronics,Электроника
Elena,Elena,Елена
Energy,Energy,Энергия
Entertainment,Entertainment,Развлечение
Evening,Evening,Вечер
Exercise,Exercise,Тренироваться
Felix,Felix,Феликс
Fisher,Fisher,Фишер
